ZONE_FROM_CATEGORY;ZONE_FROM_NAME;ZONE_TO_CATEGORY;ZONE_TO_NAME;DOOR_CATEGORY;помещение;производитель;заполнение;замок
Технические помещения;Тамбур;Нежилые помещения;Апартамент;1;*;*;*;*
Технические помещения;Тамбур;Нежилые помещения;Холл;1;*;*;*;*
Технические помещения;Тамбур;Нежилые помещения;Прихожая;1;*;*;*;*
Технические помещения;Тамбур;Жилые помещения;Апартамент;1;*;*;*;*
Технические помещения;Тамбур;Жилые помещения;Холл;1;*;*;*;*
Технические помещения;Тамбур;Жилые помещения;Прихожая;1;*;*;*;*
Технические помещения;коридор;Нежилые помещения;Апартамент;1;*;*;*;*
Технические помещения;коридор;Нежилые помещения;Холл;1;*;*;*;*
Технические помещения;коридор;Нежилые помещения;Прихожая;1;*;*;*;*
Технические помещения;коридор;Жилые помещения;Апартамент;1;*;*;*;*
Технические помещения;коридор;Жилые помещения;Холл;1;*;*;*;*
Технические помещения;коридор;Жилые помещения;Прихожая;1;*;*;*;*
Места общего пользования;Тамбур;Нежилые помещения;Апартамент;1;*;*;*;*
Места общего пользования;Тамбур;Нежилые помещения;Холл;1;*;*;*;*
Места общего пользования;Тамбур;Нежилые помещения;Прихожая;1;*;*;*;*
Места общего пользования;Тамбур;Жилые помещения;Апартамент;1;*;*;*;*
Места общего пользования;Тамбур;Жилые помещения;Холл;1;*;*;*;*
Места общего пользования;Тамбур;Жилые помещения;Прихожая;1;*;*;*;*
Места общего пользования;коридор;Нежилые помещения;Апартамент;1;*;*;*;*
Места общего пользования;коридор;Нежилые помещения;Холл;1;*;*;*;*
Места общего пользования;коридор;Нежилые помещения;Прихожая;1;*;*;*;*
Места общего пользования;коридор;Жилые помещения;Апартамент;1;*;*;*;*
Места общего пользования;коридор;Жилые помещения;Холл;1;*;*;*;*
Места общего пользования;коридор;Жилые помещения;Прихожая;1;*;*;*;*
Лестницы;Тамбур-шлюз;Лестницы;Холл;3;*;*;Остеклённая;*
